Common Name,Scientific Name,Soil Type,Soil Moisture,pH Range,Temperature 
Lansones,Lansium Domesticom,"Well-drained, sandy loam, rich in organic matter",15-25%,5.5–6.5,22–35 °C
Marang,Artocarpus odoratissimus,"Deep, fertile, well-drained clay loam",35-45%,5.5–6.5,24–32 °C
Santol,Sandoricum koetjape,"Sandy loam to clay loam, well-drained",20 – 35 %,5.0–6.5,22–32 °C
Guava,Psidium guajava,"Adaptable, prefers sandy loam, good drainage",15 – 25 %,4.5–7.0,20–30 °C
Molave,Vitex parviflora,"Dry, well-drained, limestone soils",10 – 20 %,6.0–7.5,22–32 °C
Narra,Pterocarpus indica,"Moist sandy to clay loam, tolerates saline/poor soils",20 – 35 %,4.0–7.4,27 °C
Guyabano,Annona muricata,"Deep, well-drained sandy/clay loam, fertile",20 – 35 %,5.5–6.5,27 – 28 °C
Mahogany,Swietenia macrophylla,"Deep, fertile, well-drained soils",25 – 35 %,6.5–7.5,20–28 °C
Manggo,Mangifera indica,"Sandy loam to clay loam, well-drained",20 – 35 %,5.5–7.5,21 °C
Caimito,Chrysophyllum cainito,"Deep, fertile, well-drained soils",25 – 35 %,5.5–7.5,25 – 35 °C
Atis,Annona squamosa,"Light sandy loam, well-drained",15 – 20 %,5.0–6.5,25–35 °C
Pangantoon,Pittosporum pentandrum,"Loamy, well-drained soils",25 – 35 %,6.0–7.5,20 – 30 °C
Bani,Millettia pinnata,"Well-drained sandy or loamy soils, drought tolerant",15 – 25 %,6.0–7.5,20–32 °C
Bangkál,Nauclea orientalis,"Moist alluvial soils, swampy areas",40 – 60 %,5.0–6.5,22 – 32 °C
Nangka,Artocarpus heterophyllus,"Deep, well-drained sandy loam, rich organic matter",20 – 30 %,6.0–7.5,22–32 °C
Lomboy,Syzygium cumini,"Tolerates clay, loam, laterite; prefers moist soils",30 – 40 %,5.5–7.5,25–32 °C
Agoho,Casuarina equisetifolia,"Sandy, coastal soils, well-drained",10 – 20 %,5.0–7.5,24 – 34 °C
Banaba,Lagerstroemia speciosa,"Well-drained, sandy loam, rich organic matter",20 – 30 %,5.5–7.5,25 – 35 °C
Akli,Albizia acle,Well-drained loamy soils,25 – 35 %,6.0–7.0,24 – 34 °C
Lanutan,Alphonsea alborea,"Loamy soils, well-drained",25 – 35 %,5.5–7.0,22 – 32 °C
Dao,Dracontomelon dao,"Alluvial, well-drained soils",30 – 40 %,5.0–7.0,24 – 34 °C
Avocado,Persea americana,"Well-drained sandy loam, sensitive to waterlogging",15 – 25 %,5.0–7.0 (ideal 5.5–6.5), 15–30 °C
Rambutan,Nephelium lappaceum,"Deep, clay loam, fertile, well-drained",35 – 45 %,5.0–6.5,22–35 °C
Cacao,Theobroma cacao,"Deep, fertile, well-drained clay loam",35 – 45 %,6.0–7.0,18–32 °C
Pili Nut,Canarium ovatum,Well-drained loamy soils,25 – 35 %,5.5–6.5, 22–32 °C
Lemonsito,Citrus microcarpa,"Sandy loam, well-drained, fertile",20 – 30 %,5.5–6.5,20–32 °C
